Created on 08-12-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2018-08-06,LTCBTC,0.01063,0.01076,0.01052,0.01061,138605.79,1472.22
2018-08-05,LTCBTC,0.01042,0.01066,0.01039,0.01063,135864.74,1430.72
2018-08-04,LTCBTC,0.01046,0.01067,0.0103,0.01042,143537.35,1498.48
2018-08-03,LTCBTC,0.01011,0.01049,0.0101,0.01046,145163.25,1491.73
2018-08-02,LTCBTC,0.01021,0.01023,0.01006,0.01011,132467.28,1341.83
2018-08-01,LTCBTC,0.01019,0.01032,0.01012,0.01021,145353.25,1485.71
2018-07-31,LTCBTC,0.01005,0.01023,0.009836,0.01019,154246.17,1545.08
2018-07-30,LTCBTC,0.0102,0.0103,0.01004,0.01005,140976.74,1434.01
2018-07-29,LTCBTC,0.01022,0.01031,0.01017,0.0102,133737.99,1367.36
2018-07-28,LTCBTC,0.01032,0.01033,0.01016,0.01022,137831.93,1411.18
2018-07-27,LTCBTC,0.01053,0.01056,0.01022,0.01032,146522.57,1524.29
2018-07-26,LTCBTC,0.01056,0.01062,0.01041,0.01053,144817.34,1527.7
2018-07-25,LTCBTC,0.01063,0.01075,0.01039,0.01056,157238.02,1657.75
2018-07-24,LTCBTC,0.01054,0.01113,0.01032,0.01063,174164.42,1861.55
2018-07-23,LTCBTC,0.01111,0.01125,0.01052,0.01054,124042.53,1345.27
2018-07-22,LTCBTC,0.01127,0.01132,0.01099,0.01111,134018.81,1491.84
2018-07-21,LTCBTC,0.01115,0.01146,0.01094,0.01127,130091.78,1463.15
2018-07-20,LTCBTC,0.01152,0.01157,0.0111,0.01115,145938.62,1649.63
2018-07-19,LTCBTC,0.01169,0.0119,0.01149,0.01152,143852.88,1683.54
2018-07-18,LTCBTC,0.01217,0.01264,0.01166,0.01169,164383.61,2000.15
2018-07-17,LTCBTC,0.01244,0.01253,0.012,0.01217,150524.87,1850.61
2018-07-16,LTCBTC,0.01235,0.0126,0.01225,0.01244,145280.62,1803.03
